Graded Commit:55c83e08d9b693743b150f1c941241ecc4351472

TEST NAME, POINTS,OUT OF
decompress_test_suite/decompress_block_no_internal_nodes,0,1,The test crashed.: None
decompress_test_suite/decompress_block_no_leaf_nodes,0,1,The test crashed.: None
decompress_test_suite/decompress_block_single_byte,0,1,1 assertion(s) failed.: tests/decompress_tests.c:301: Invalid return for decompress block. Got 0 | Expected: -1
decompress_test_suite/decompress_block_test0,0,1,The test crashed.: None
decompress_test_suite/decompress_block_test1,0,1,The test crashed.: None
decompress_test_suite/decompress_block_test2,0,1,The test crashed.: None
decompress_test_suite/decompress_block_test3,0,1,The test crashed.: None
decompress_test_suite/decompress_block_test4,0,1,The test crashed.: None
decompress_test_suite/decompress_block_test5,0,1,The test crashed.: None
decompress_test_suite/decompress_block_test6,0,1,The test crashed.: None
decompress_test_suite/decompress_block_trunc_at_symbols,0,1,The test crashed.: None
decompress_test_suite/decompress_block_trunc_at_traversal,0,1,1 assertion(s) failed.: tests/decompress_tests.c:275: Invalid return for decompress block. Got 0 | Expected: -1
decompress_test_suite/decompress_test0,0,1,The test crashed.: None
decompress_test_suite/decompress_test1,0,1,The test crashed.: None
emit_huffman_tree_suite/emit_huffman_tree_test0,1,1,
emit_huffman_tree_suite/emit_huffman_tree_test1,1,1,
emit_huffman_tree_suite/emit_huffman_tree_test2,1,1,
emit_huffman_tree_suite/emit_huffman_tree_test3,1,1,
read_huffman_tree_suite/read_huff_tree_empty,0,1,1 assertion(s) failed.: tests/decompress_tests.c:357: Invalid return for read huffman tree. Got -1 | Expected: 1
read_huffman_tree_suite/read_huff_tree_no_leaf_nodes,1,1,
read_huffman_tree_suite/read_huff_tree_single_byte,1,1,
read_huffman_tree_suite/read_huff_tree_test0,0,1,The test crashed.: None
read_huffman_tree_suite/read_huff_tree_test1,0,1,1 assertion(s) failed.: tests/decompress_tests.c:458: Incorrect number of nodes in tree. Got 3 | Expected: 1
read_huffman_tree_suite/read_huff_tree_test2,0,1,The test crashed.: None
read_huffman_tree_suite/read_huff_tree_trunc_at_symbols,1,1,
read_huffman_tree_suite/read_huff_tree_trunc_at_traversal,1,1,
validargs_test_suite/validargs_compress_invalid_block_test0,1,1,
validargs_test_suite/validargs_compress_invalid_block_test1,1,1,
validargs_test_suite/validargs_compress_test0,1,1,
validargs_test_suite/validargs_compress_test1,1,1,
validargs_test_suite/validargs_compress_test2,1,1,
validargs_test_suite/validargs_decompress_test,1,1,
validargs_test_suite/validargs_default_compress_test,1,1,
validargs_test_suite/validargs_help_test0,1,1,
validargs_test_suite/validargs_help_test1,1,1,
validargs_test_suite/validargs_help_test2,1,1,
validargs_test_suite/validargs_help_test3,1,1,
validargs_test_suite/validargs_invalid_combination_test0,0,1,1 assertion(s) failed.: tests/validargs_tests/validargs_tests.c:189: Invalid return for valid args. Got 0 | Expected: -1
validargs_test_suite/validargs_invalid_compress_test,0,1,1 assertion(s) failed.: tests/validargs_tests/validargs_tests.c:116: Invalid return for valid args. Got 0 | Expected: -1
validargs_test_suite/validargs_invalid_order_test,0,1,1 assertion(s) failed.: tests/validargs_tests/validargs_tests.c:162: Invalid return for valid args. Got 0 | Expected: -1
validargs_test_suite/validargs_invalid_test0,1,1,
validargs_test_suite/validargs_invalid_test1,1,1,
validargs_test_suite/validargs_invalid_test2,0,1,"3 assertion(s) failed.: tests/validargs_tests/validargs_tests.c:306: Invalid return for valid args. Got 0 | Expected: -1
tests/validargs_tests/validargs_tests.c:301: Invalid return for valid args. Got 0 | Expected: -1
tests/validargs_tests/validargs_tests.c:296: Invalid return for valid args. Got 0 | Expected: -1"
total,28,89
